Contrato;Conv;Taxa Originação;Taxa Cessão
3002345480;MT;1.95;1.95
3002351371;MT;1.95;1.95
3002349631;MT;1.9;1.9
3002128472;MT;1.9;1.9
3002349524;MA;1.9;1.9
3002328734;MA;1.9;1.9
3002348765;MA;1.9;1.9
3002338758;MA;1.9;1.9
3002345050;MA;1.9;1.9
3002350506;MA;1.9;1.9
3002349490;MT;1.9;1.9
3002343865;MA;1.9;1.9
3002350175;MA;1.9;1.9
3002345639;MT;1.9;1.9
3002350639;MA;1.9;1.9
3002352320;MA;1.9;1.9
3002351595;MT;1.9;1.9
3002350688;MT;1.9;1.9
3002347924;MT;1.9;1.9
3002349359;MA;1.9;1.9
3002350050;MA;1.9;1.9
3002349417;MA;1.9;1.9
3002350290;MA;1.9;1.9
3002351645;MT;1.9;1.9
3002324535;MT;1.9;1.9
3002351827;MA;1.9;1.9
3002349581;MA;1.9;1.9
3002310153;MT;1.9;1.9
3002350464;MA;1.9;1.9
3002271256;MT;1.9;1.9
3002350423;MA;1.9;1.9
3002350274;MA;1.9;1.9
3002351702;MA;1.9;1.9
3002349367;MT;1.9;1.9
3002351538;MA;1.9;1.9
3002338857;MA;1.9;1.9
3002350399;MA;1.9;1.9
3002352114;MA;1.9;1.9
3002352130;MT;1.9;1.9
3002350258;MA;1.9;1.9
3002352403;MA;1.9;1.9
3002351694;MA;1.9;1.9
3002350746;MA;1.9;1.9
3002351421;MA;1.9;1.9
3002352346;MA;1.9;1.9
3002352213;MA;1.9;1.9
3002358285;MA;1.9;1.9
3002351900;MA;1.9;1.9
3002352890;MT;1.9;1.9
3002358475;MA;1.9;1.9
3002351686;MT;1.9;1.9
3002361495;MA;1.9;1.9
3002352486;MA;1.9;1.9
3002350365;MA;1.9;1.9
3002338881;MA;1.9;1.9
3002356818;MA;1.9;1.9
3002358269;MA;1.9;1.9
3002353294;MT;1.9;1.9
3002358368;MA;1.9;1.9
3002356933;MT;1.9;1.9
3002350217;MA;1.9;1.9
3002352882;MA;1.9;1.9
3002353302;MA;1.9;1.9
3002358244;MT;1.9;1.9
3002358319;MA;1.9;1.9
3002340291;MT;1.95;1.95
3002353096;MT;1.95;1.95
3002353955;MA;1.95;1.95
3002357337;MA;1.95;1.95
3002357402;MT;1.95;1.95
3002357915;MT;1.95;1.95
3002295388;MT;1.95;1.95
3002318610;MA;1.95;1.95
3002331225;MT;1.95;1.95
3002331746;MT;1.95;1.95
3002332389;MT;1.95;1.95
3002354136;MA;1.95;1.95
3002363848;MA;1.95;1.95
3002365447;MT;1.95;1.95
3002361628;MA;1.9;1.9
3002362543;MA;1.9;1.9
3002363772;MA;1.9;1.9
3002366312;MT;1.9;1.9
3002363863;MA;1.9;1.9
3002367914;MA;1.9;1.9
3002368052;MA;1.9;1.9
3002358228;MT;1.9;1.9
3002294241;MA;1.9;1.9
3002317968;MT;1.9;1.9
3002363806;MA;1.9;1.9
3002341968;MT;1.9;1.9
3002362519;MA;1.9;1.9
3002363921;MT;1.9;1.9
3002361412;MA;1.9;1.9
3002361420;MA;1.9;1.9
3002363947;MA;1.9;1.9
3002352874;MA;1.9;1.9
3002361586;MA;1.9;1.9
3002363731;MA;1.9;1.9
3002350233;MA;1.9;1.9
3002364010;MA;1.9;1.9
3002358236;MA;1.9;1.9
3002364051;MA;1.9;1.9
3002361602;MA;1.9;1.9
3002358467;MT;1.9;1.9
3002364192;MA;1.9;1.9
3002361958;MA;1.9;1.9
3002363665;MT;1.9;1.9
3002361685;MA;1.9;1.9
3002363830;MT;1.9;1.9
3002368086;MA;1.9;1.9
3002364267;MA;1.9;1.9
3002366643;MA;1.9;1.9
3002363970;MT;1.9;1.9
3002361545;MA;1.9;1.9
3002365801;MA;1.9;1.9
3002367849;MA;1.9;1.9
3002364127;MA;1.9;1.9
3002366601;MA;1.9;1.9
3002368037;MA;1.9;1.9
3002364150;MT;1.9;1.9
3002366247;MT;1.9;1.9
3002364234;MA;1.9;1.9
3002366619;MT;1.9;1.9
3002366783;MT;1.9;1.9
3002364259;MA;1.9;1.9
3002367823;MA;1.9;1.9
3002364549;MT;1.9;1.9
3002364309;MA;1.9;1.9
3002367922;MA;1.9;1.9
3002299596;MT;1.95;1.95
3002301392;MT;1.95;1.95
3002319998;MT;1.95;1.95
3002338345;MT;1.95;1.95
3002373250;MA;1.95;1.95
3002375388;MT;1.95;1.95
3002375586;MT;1.95;1.95
3002377855;MA;1.95;1.95
3002371445;MA;1.9;1.9
3002371783;MT;1.9;1.9
3002318016;MT;1.9;1.9
3002324659;MT;1.9;1.9
3002367856;MA;1.9;1.9
3002345233;MT;1.9;1.9
3002364291;MA;1.9;1.9
3002371726;MT;1.9;1.9
3002371403;MA;1.9;1.9
3002358558;MA;1.9;1.9
3002372062;MA;1.9;1.9
3002366288;MA;1.9;1.9
3002371825;MA;1.9;1.9
3002373391;MT;1.9;1.9
3002366411;MA;1.9;1.9
3002368078;MA;1.9;1.9
3002366395;MT;1.9;1.9
3002371684;MA;1.9;1.9
3002374027;MT;1.9;1.9
3002373870;MA;1.9;1.9
3002367880;MA;1.9;1.9
3002376121;MA;1.9;1.9
3002374720;MA;1.9;1.9
3002371460;MA;1.9;1.9
3002378614;MT;1.9;1.9
3002377384;MA;1.9;1.9
3002376253;MA;1.9;1.9
3002378622;MT;1.9;1.9
3002372138;MA;1.9;1.9
3002372013;MT;1.9;1.9
3002373953;MA;1.9;1.9
3002374753;MA;1.9;1.9
3002376352;MT;1.95;1.95
3002378408;MA;1.95;1.95
3002378903;MT;1.95;1.95
3002378929;MT;1.95;1.95
3002379539;MT;1.95;1.95
3002379547;MT;1.95;1.95
3002379562;MT;1.95;1.95
3002379844;MT;1.95;1.95
3002381402;MT;1.95;1.95
3002381709;MT;1.95;1.95
3002382459;MT;1.95;1.95
3002382822;MT;1.95;1.95
3002382939;MT;1.95;1.95
3002384067;MT;1.95;1.95
3002385155;MT;1.95;1.95
3002345308;MT;1.9;1.9
3002362469;MA;1.9;1.9
3002371767;MA;1.9;1.9
3002353310;MT;1.9;1.9
3002379034;MA;1.9;1.9
3002380560;MA;1.9;1.9
3002381964;MA;1.9;1.9
3002376683;MA;1.9;1.9
3002376212;MA;1.9;1.9
3002371692;MA;1.9;1.9
3002382111;MA;1.9;1.9
3002327074;MA;1.9;1.9
3002381667;MA;1.9;1.9
3002348203;MT;1.9;1.9
3002379018;MA;1.9;1.9
3002381931;MA;1.9;1.9
3002378606;MA;1.9;1.9
3002376022;MA;1.9;1.9
3002379893;MA;1.9;1.9
3002379976;MT;1.9;1.9
3002381881;MA;1.9;1.9
3002382095;MA;1.9;1.9
3002381782;MT;1.9;1.9
3002371551;MA;1.9;1.9
3002378580;MA;1.9;1.9
3002382012;MA;1.9;1.9
3002374738;MA;1.9;1.9
3002385346;MT;1.9;1.9
3002352296;MA;1.9;1.9
3002364366;MA;1.9;1.9
3002385221;MT;1.9;1.9
3002334096;MT;1.9;1.9
3002387821;MT;1.9;1.9
